"Species","Site","Tree","Fruit","Fruit_Vol_mm3","body_size_mm"
"Het2","S96","T34","F11",6631.68,2.526
"Het2","S96","T36","F3",1436.03,2.238
"Het2","S113","T4M","F13",2419.89,2.589
"Het2","S113","T4N","F17",1436.03,2.554
"Het2","S172","T2","F13",2402.1,2.085
"Het2","S172","T6","F6",1128.31,2.266
"Het2","S172","T30","F7",633.23,2.428
"Het2","S172","T30","F7",633.23,2.339
"Het2","S172","T30","F21",1238.21,2.439
"Het2","S158","T6A","F9",1992.85,2.167
"Het2","S158","T29","F16",3349.33,2.082
"Het2","S70","T201","F5",1758.4,2.148
"Het2","S70","T58","F6",2009.6,2.323
"Het2","S70","T38","F5",2535.55,2.489
"Het2","S96","T36","F1",1648.5,2.1
