"Species","Site","Tree","Fruit","Fruit_Vol_mm3","body_size_mm"
"SO2","S96","T34","F11",6631.68,2.112
"SO2","S96","T36","F15",1507.2,1.956
"SO2","S113","T4M","F4",3579.6,2.074
"SO2","S113","T4N","F26",3778.47,1.952
"SO2","S172","T2","F9",1884,2.02
"SO2","S172","T6","F3",1047.71,1.937
"SO2","S172","T4","F11",1632.8,1.95
"SO2","S172","T30","F24",1238.21,1.957
"SO2","S158","T6A","F7",633.23,2.148
"SO2","S158","T29","F27",1875.63,1.764
"SO2","S70","T201","F8",1230.88,1.95
"SO2","S70","T58","F6",2009.6,1.849
"SO2","S70","T38","F11",1743.75,1.826
"SO2","S96","T34","F7",3692.64,2.06
"SO2","S96","T36","F2",1875.67,1.754
